time_us,rx_bytes,tx_bytes
0.0,0,0
603.7,0,0
1195.2,0,0
1787.6,0,0
2378.4,0,0
2968.2,0,0
3558.1,0,0
4147.7,0,0
4737.8,0,0
5327.1,0,0
5907.9,0,0
6489.1,0,0
7069.4,0,0
7650.1,0,0
8231.1,0,0
8814.4,0,0
9397.7,0,0
9980.4,0,0
10560.3,0,0
11156.5,0,0
11741.5,0,0
12326.5,0,0
12907.3,0,0
13487.6,0,0
14067.7,0,0
14647.5,0,0
15227.0,0,0
15807.4,0,0
16386.1,0,0
16965.1,0,0
17546.9,0,0
18127.0,0,0
18707.5,0,0
19287.5,0,0
19867.1,0,0
20448.7,0,0
21028.8,0,0
21608.3,0,0
22188.8,0,0
22769.9,0,0
23351.0,0,0
23930.4,0,0
24511.1,0,0
25089.9,0,0
25669.5,0,0
26250.1,0,0
26830.9,0,0
27410.4,0,0
27989.7,0,0
28574.9,0,0
29156.0,0,0
29736.0,0,0
30319.1,0,0
30899.7,0,0
31479.8,0,0
32059.7,0,0
32639.9,0,0
33219.8,0,0
33800.0,0,0
34380.0,0,0
34959.7,0,0
35539.6,0,0
36118.6,0,0
36698.0,0,0
37278.1,0,0
37859.4,0,0
38440.6,0,0
39020.7,0,0
39600.7,0,0
40180.9,0,0
40760.5,0,0
41339.6,0,0
41919.1,0,0
42498.8,0,0
43079.7,0,0
43660.1,0,0
44239.3,0,0
44820.0,0,0
45401.4,0,0
45981.6,0,0
46561.2,0,0
47248.3,0,0
47828.7,0,0
48410.3,0,0
48992.6,0,0
49574.4,0,0
50154.6,0,0
50736.8,0,0
51318.7,0,0
51901.3,0,0
52484.3,0,0
53066.3,0,0
53647.7,0,0
54228.2,0,0
54810.0,0,0
55395.1,0,0
55976.0,0,0
56558.7,0,0
57139.0,0,0
57719.2,0,0
58302.9,0,0
58884.3,0,0
59466.4,0,0
60047.4,0,0
60630.3,0,0
61213.5,0,0
61794.8,0,0
62377.5,0,0
62960.4,0,0
63541.6,0,0
64122.6,0,0
64703.3,0,0
65284.3,0,0
65866.7,0,0
66449.0,0,0
67029.7,0,0
67613.2,0,0
68194.3,0,0
68775.0,0,0
69355.9,0,0
69938.7,0,0
70521.2,0,0
71102.2,0,0
71682.7,0,0
72263.7,0,0
72844.8,0,0
73427.0,0,0
74008.8,0,0
74590.3,0,0
75170.7,0,0
75752.5,0,0
76334.9,0,0
76917.7,0,0
77499.6,0,0
78080.6,0,0
78661.5,0,0
79242.7,0,0
