time_us,rx_bytes,tx_bytes
0.0,0,0
597.0,0,0
1188.5,0,0
1779.2,0,0
2369.6,0,0
2959.4,0,0
3550.8,0,0
4142.1,0,0
4733.6,0,0
5324.5,0,0
5913.9,0,0
6496.0,0,0
7076.7,0,0
7660.1,0,0
8241.8,0,0
8822.9,0,0
9404.5,0,0
9988.3,0,0
10570.9,0,0
11153.8,0,0
11736.1,0,0
12318.8,0,0
12898.6,0,0
13479.2,0,0
14061.1,0,0
14641.1,0,0
15222.8,0,0
15803.2,0,0
16383.5,0,0
16966.5,0,0
17546.8,0,0
18128.5,0,0
18713.2,0,0
19294.6,0,0
19874.7,0,0
20455.9,0,0
21035.8,0,0
21616.0,0,0
22196.8,0,0
22777.7,0,0
23357.9,0,0
23938.6,0,0
24519.3,0,0
25099.3,0,0
25680.3,0,0
26260.5,0,0
26840.7,0,0
27422.0,0,0
28003.5,0,0
28588.4,0,0
29168.0,0,0
29747.5,0,0
30328.8,0,0
30910.3,0,0
31490.3,0,0
32069.7,0,0
32649.2,0,0
33232.1,0,0
33812.9,0,0
34393.8,0,0
34974.6,0,0
35553.5,0,0
36133.3,0,0
36714.4,0,0
37294.4,0,0
37875.2,0,0
38456.6,0,0
39037.2,0,0
39617.2,0,0
40196.5,0,0
40776.3,0,0
41356.6,0,0
41936.6,0,0
42518.0,0,0
43098.4,0,0
43679.9,0,0
44260.5,0,0
44840.2,0,0
45420.3,0,0
46000.1,0,0
46581.4,0,0
47164.3,0,0
47746.7,0,0
48330.8,0,0
48912.3,0,0
49494.2,0,0
50076.1,0,0
50657.5,0,0
51239.1,0,0
51821.2,0,0
52403.0,0,0
52983.6,0,0
53564.7,0,0
54145.9,0,0
54727.3,0,0
55309.2,0,0
55890.4,0,0
56477.1,0,0
57059.9,0,0
57645.0,0,0
58227.4,0,0
58810.1,0,0
59392.6,0,0
59975.7,0,0
60557.5,0,0
61139.7,0,0
61721.2,0,0
62304.0,0,0
62885.0,0,0
63467.4,0,0
64050.1,0,0
64631.9,0,0
65215.4,0,0
65800.1,0,0
66382.5,0,0
66963.3,0,0
67545.6,0,0
68126.7,0,0
68707.4,0,0
69289.3,0,0
69871.7,0,0
70453.1,0,0
71034.8,0,0
71616.9,0,0
72203.9,0,0
72786.4,0,0
73369.0,0,0
73950.3,0,0
74531.2,0,0
75112.3,0,0
75693.7,0,0
76281.0,0,0
76863.7,0,0
77446.5,0,0
78028.5,0,0
78610.2,0,0
79191.8,0,0
79772.3,0,0
80352.5,0,0
80935.0,0,0
81517.9,0,0
82098.4,0,0
82679.8,0,0
83261.4,0,0
83843.3,0,0
84425.4,0,0
85007.5,0,0
85588.9,0,0
86170.3,0,0
86751.5,0,0
87334.0,0,0
87915.8,0,0
88496.6,0,0
89077.4,0,0
89658.7,0,0
90241.4,0,0
90822.0,0,0
91403.4,0,0
91984.8,0,0
92566.3,0,0
93147.5,0,0
93730.4,0,0
94314.4,0,0
94895.4,0,0
95476.9,0,0
96058.3,0,0
96639.3,0,0
97220.9,0,0
97803.0,0,0
98385.7,0,0
98966.3,0,0
99547.6,0,0
100128.0,0,0
100710.7,0,0
101292.3,0,0
101872.6,0,0
102453.4,0,0
103034.1,0,0
103615.6,0,0
104196.9,0,0
104779.0,0,0
105361.2,0,0
105941.8,0,0
106525.1,0,0
107106.4,0,0
107688.4,0,0
108271.0,0,0
108852.3,0,0
109433.5,0,0
110014.5,0,0
110595.8,0,0
111179.1,0,0
111762.6,0,0
112345.9,0,0
112926.8,0,0
113508.7,0,0
114089.7,0,0
114669.8,0,0
115250.4,0,0
115832.7,0,0
116415.7,0,0
116996.9,0,0
117578.2,0,0
118159.5,0,0
118741.8,0,0
119323.2,0,0
119903.6,0,0
120485.6,0,0
121067.1,0,0
121648.2,0,0
122229.4,0,0
122812.0,0,0
123394.7,0,0
123975.8,0,0
124557.6,0,0
125138.6,0,0
125719.6,0,0
126300.1,0,0
126879.8,0,0
127462.0,0,0
128046.4,0,0
128628.1,0,0
129208.6,0,0
129791.2,0,0
130373.8,0,0
130955.8,0,0
131536.4,0,0
132117.2,0,0
132698.2,0,0
133280.2,0,0
133863.4,0,0
134444.3,0,0
135025.2,0,0
135606.4,0,0
136189.3,0,0
136772.1,0,0
137352.5,0,0
137932.7,0,0
138514.1,0,0
139096.4,0,0
139678.3,0,0
140259.4,0,0
140840.2,0,0
141421.6,0,0
142001.6,0,0
142582.1,0,0
143162.0,0,0
143742.8,0,0
144323.8,0,0
144904.5,0,0
145485.1,0,0
146066.4,0,0
146647.6,0,0
147228.0,0,0
147811.2,0,0
148394.0,0,0
148977.2,0,0
149558.7,0,0
150139.8,0,0
150720.3,0,0
151301.7,0,0
151884.7,0,0
152465.9,0,0
153046.9,0,0
153627.6,0,0
154209.8,0,0
154790.6,0,0
155371.4,0,0
155951.8,0,0
156534.8,0,0
157118.0,0,0
157698.9,0,0
158280.4,0,0
158863.2,0,0
159444.8,0,0
160027.1,0,0
160608.1,0,0
161190.2,0,0
161770.3,0,0
162351.9,0,0
162931.8,0,0
163515.0,0,0
164095.5,0,0
164676.9,0,0
165257.3,0,0
165838.7,0,0
166422.7,0,0
167004.9,0,0
167586.0,0,0
168166.5,0,0
168747.2,0,0
169327.6,0,0
169910.0,0,0
170491.9,0,0
171072.1,0,0
171652.4,0,0
172232.8,0,0
172813.4,0,0
173394.5,0,0
173975.4,0,0
174557.6,0,0
175138.1,0,0
175718.9,0,0
176299.0,0,0
176880.4,0,0
177462.1,0,0
178043.9,0,0
178625.9,0,0
179206.8,0,0
179786.7,0,0
180370.2,0,0
180953.0,0,0
181534.3,0,0
182115.0,0,0
182695.5,0,0
183278.6,0,0
183858.9,0,0
184440.2,0,0
185021.2,0,0
185603.0,0,0
186183.6,0,0
186764.4,0,0
187346.2,0,0
187928.4,0,0
188509.6,0,0
189090.0,0,0
189671.0,0,0
190252.6,0,0
190833.3,0,0
191413.0,0,0
191993.6,0,0
192574.2,0,0
193154.9,0,0
193736.0,0,0
194316.3,0,0
194900.1,0,0
195482.0,0,0
196062.5,0,0
196644.2,0,0
197224.6,0,0
197805.7,0,0
198386.5,0,0
198968.5,0,0
199551.2,0,0
200132.0,0,0
200712.8,0,0
201293.0,0,0
201875.2,0,0
202456.8,0,0
203036.8,0,0
203616.8,0,0
204199.6,0,0
204780.7,0,0
205362.9,0,0
205943.1,0,0
206526.1,0,0
207108.3,0,0
207689.4,0,0
208271.3,0,0
208852.0,0,0
209432.3,0,0
210013.2,0,0
210594.9,0,0
211177.0,0,0
211757.6,0,0
212339.7,0,0
212920.7,0,0
213503.7,0,0
214084.9,0,0
214666.7,0,0
215247.6,0,0
215827.7,0,0
216408.6,0,0
216989.9,0,0
217571.8,0,0
218152.7,0,0
218734.0,0,0
219314.1,0,0
219896.3,0,0
220478.3,0,0
221059.3,0,0
221640.7,0,0
222224.1,0,0
222804.3,0,0
223386.1,0,0
223966.4,0,0
224547.1,0,0
225130.1,0,0
225711.1,0,0
226291.7,0,0
226874.6,0,0
227459.8,0,0
228041.5,0,0
228625.1,0,0
229207.4,0,0
229787.4,0,0
230367.8,0,0
230950.2,0,0
231531.5,0,0
232113.9,0,0
232695.3,0,0
233275.8,0,0
233857.7,0,0
234438.7,0,0
235020.7,0,0
235600.6,0,0
236181.6,0,0
236765.1,0,0
237345.5,0,0
237926.2,0,0
238506.9,0,0
239088.0,0,0
239671.3,0,0
240251.8,0,0
240832.0,0,0
241413.3,0,0
241994.1,0,0
242576.3,0,0
243156.8,0,0
243737.7,0,0
244319.4,0,0
244900.0,0,0
245480.9,0,0
246061.0,0,0
246642.1,0,0
247222.8,0,0
247803.9,0,0
248384.2,0,0
248965.3,0,0
249546.3,0,0
250127.9,0,0
250709.6,0,0
251289.8,0,0
251869.5,0,0
252450.3,0,0
253031.8,0,0
253613.7,0,0
254195.3,0,0
