time_us,rx_bytes,tx_bytes
0.0,0,0
612.5,0,0
1216.9,0,0
1819.3,0,0
2420.0,0,0
3020.1,0,0
3615.6,0,0
4207.7,0,0
4797.4,0,0
5386.9,0,0
5977.3,0,0
6561.3,0,0
7143.0,0,0
7723.1,0,0
8303.4,0,0
8883.9,0,0
9466.3,0,0
10046.3,0,0
10626.9,0,0
11208.3,0,0
11790.5,0,0
12370.9,0,0
12951.1,0,0
13530.5,0,0
14112.1,0,0
14694.4,0,0
15275.3,0,0
15855.2,0,0
16435.6,0,0
17015.6,0,0
17596.9,0,0
18177.1,0,0
18757.7,0,0
19338.4,0,0
19919.0,0,0
20500.6,0,0
21082.0,0,0
21662.2,0,0
22242.7,0,0
22822.6,0,0
23403.9,0,0
23984.2,0,0
24564.2,0,0
25144.2,0,0
25724.0,0,0
26305.3,0,0
26885.5,0,0
27469.1,0,0
28050.1,0,0
28637.4,0,0
29218.5,0,0
29798.7,0,0
30382.1,0,0
30963.2,0,0
31543.7,0,0
32128.1,0,0
32712.8,0,0
33293.4,0,0
33874.4,0,0
34454.4,0,0
35034.8,0,0
35613.6,0,0
36196.1,0,0
36777.4,0,0
37358.3,0,0
37939.5,0,0
38518.9,0,0
39098.9,0,0
39679.0,0,0
40258.8,0,0
40839.1,0,0
41420.8,0,0
42000.9,0,0
42583.8,0,0
43189.3,0,0
43771.5,0,0
44353.1,0,0
44934.0,0,0
45514.6,0,0
46093.9,0,0
46770.4,0,0
47353.8,0,0
47937.6,0,0
48518.9,0,0
49104.4,0,0
49686.1,0,0
50268.0,0,0
50851.1,0,0
51434.2,0,0
52014.8,0,0
52599.6,0,0
53181.0,0,0
53764.1,0,0
54346.6,0,0
54927.1,0,0
55509.1,0,0
56090.7,0,0
56679.0,0,0
57260.2,0,0
57842.2,0,0
58423.6,0,0
59005.0,0,0
59588.3,0,0
60171.1,0,0
60752.5,0,0
61334.1,0,0
61918.5,0,0
62501.3,0,0
63084.6,0,0
63669.0,0,0
64250.4,0,0
64831.1,0,0
65413.3,0,0
65996.9,0,0
66579.9,0,0
67159.7,0,0
67740.8,0,0
68322.0,0,0
68905.0,0,0
69488.0,0,0
70069.4,0,0
70651.6,0,0
71233.3,0,0
71816.2,0,0
72398.4,0,0
72979.2,0,0
73560.9,0,0
74144.1,0,0
74727.3,0,0
75308.8,0,0
75890.0,0,0
76470.9,0,0
77052.6,0,0
77636.6,0,0
78216.8,0,0
78798.7,0,0
79381.6,0,0
79963.7,0,0
80544.6,0,0
81125.2,0,0
81708.0,0,0
82293.4,0,0
82875.8,0,0
83457.7,0,0
84038.2,0,0
84620.5,0,0
85203.2,0,0
85784.6,0,0
86365.1,0,0
86946.7,0,0
87530.1,0,0
